id_documento;tipo_pessoa;nome_razao;nome_fantasia;rg_ie;email;telefone;cep;endereco;numero;complemento;bairro;cidade;uf;categoria;limite_credito;status;data_cadastro
31.428.110/0001-26; JURIDICA; UASG 982605 - MUNICIPIO DE BREJETUBA; PREFEITURA BREJETUBA; ISENTO; licitacoes@brejetuba.es.gov.br; (27) 3733-1100; 29630-000; Rua Lourenco de Souza; s/n; s/n; Centro; Brejetuba; ES; CLIENTE; NADA; ATIVO; 13/02/2026
08.411.050/0004-84; JURIDICA; UASG 158142 - IFF CAMPUS CABO FRIO; INSTITUTO FEDERAL; ISENTO; compras.cf@iff.edu.br; (22) 2640-1000; 28900-000;Estrada Cabo Frio-BUzios; s/n; s/n; Baia Formosa; Cabo Frio; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
29.115.656/0001-28; JURIDICA; UASG 985737 - MUNICIPIO DE CABO FRIO; PREFEITURA CABO FRIO; ISENTO; licitacao@cabofrio.rj.gov.br; (22) 2645-1200; 28905-350;Praca Tiradentes; s/n; s/n; Centro; Cabo Frio; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.520.101/0001-40; JURIDICA; UASG 985831 - MUNICIPIO DE CABO FRIO; PREFEITURA CABO FRIO; ISENTO; licitacoes@cabofrio.rj.gov.br; (22) 2645-5566; 28905-000; Praca Tiradentes; s/n; s/n; Centro; Cabo Frio; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.528.503/0001-90; JURIDICA; UASG 985815 - MUNICIPIO DE CABO FRIO; PREFEITURA CABO FRIO; ISENTO; compras@cabofrio.rj.gov.br; (22) 2646-1100; 28907-000; Praca Tiradentes;1; s/n; Centro; Cabo Frio; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.538.008/0001-61; JURIDICA; UASG 985813 - MUNICIPIO DE CABO FRIO; PREFEITURA CABO FRIO; ISENTO; licitacoes@cabofrio.rj.gov.br; (22) 2645-5566; 28905-000; Praca Tiradentes; s/n; s/n; Centro; Cabo Frio; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.005/0001-44; JURIDICA; UASG 989243 - MUNICIPIO DE CACAPAVA; PREFEITURA CACAPAVA; ISENTO; licitacoes@cacapava.sp.gov.br; (12) 3654-6600; 12280-000; Rua Capitao Carlos de Moura;243; s/n; Vila Pantaleao; Cacapava; SP; CLIENTE; NADA; ATIVO; 13/02/2026
89.912.777/0001-56; JURIDICA; UASG 984417 - MUNICIPIO DE CACHOEIRA DO SUL; PREFEITURA CACHOEIRA; ISENTO; licitacoes@cachoeiradosul.rs.gov.br; (51) 3724-6000; 96501-001; Rua Moron;1013; s/n; Centro; Cachoeira do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.613.139/0001-10; JURIDICA; UASG 984531 - MUNICIPIO DE CACHOEIRA DO SUL; PREFEITURA CACHOEIRA; ISENTO; licitacao@cachoeiradosul.rs.gov.br; (51) 3724-6000; 96501-000; Rua Sete de Setembro;1138; s/n; Centro; Cachoeira do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
88.711.455/0001-33; JURIDICA; UASG 984377 - MUNICIPIO DE CACHOEIRINHA; PREFEITURA CACHOEIRINHA; ISENTO; licitacoes@cachoeirinha.rs.gov.br; (51) 3339-2000; 94910-001; Avenida Flores da Cunha;2209; s/n; Parada 51; Cachoeirinha; RS; CLIENTE; NADA; ATIVO; 13/02/2026
88.000.955/0001-65; JURIDICA; UASG 984531 - MUNICIPIO DE CACHOEIRINHA; PREFEITURA CACHOEIRINHA; ISENTO; licitacoes@cachoeirinha.rs.gov.br; (51) 3339-2000; 94910-001; Avenida Flores da Cunha;2209; s/n; Parada 54; Cachoeirinha; RS; CLIENTE; NADA; ATIVO; 13/02/2026
27.165.653/0001-64; JURIDICA; UASG 982569 - MUNICIPIO DE CACHOEIRO DE ITAPEMIRIM; PREFEITURA CACHOEIRO; ISENTO; licitacoes@cachoeiro.es.gov.br; (28) 3155-5200; 29300-900; Praca Jeronimo Monteiro;32; s/n; Centro; Cachoeiro de Itapemirim; ES; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.701/0001-49; JURIDICA; UASG 989313 - MUNICIPIO DE CAIEIRAS; PREFEITURA CAIEIRAS; ISENTO; licitacoes@caieiras.sp.gov.br; (11) 4445-9200; 07700-000; Avenida Professor Carvalho Pinto;207; s/n; Centro; Caieiras; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.062/0001-70; JURIDICA; UASG 989191 - MUNICIPIO DE CAIEIRAS; PREFEITURA CAIEIRAS; ISENTO; licitacoes@caieiras.sp.gov.br; (11) 4445-9200; 07700-000; Avenida Professor Carvalho Pinto;207; s/n; Centro; Caieiras; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.644/0001-06; JURIDICA; UASG 989307 - MUNICIPIO DE CAJAMAR; PREFEITURA CAJAMAR; ISENTO; licitacoes@cajamar.sp.gov.br; (11) 4446-7500; 07750-000; Praca Jose Rodrigues do Nascimento;30; s/n; Centro; Cajamar; SP; CLIENTE; NADA; ATIVO; 13/02/2026
90.413.222/0001-01; JURIDICA; UASG 984257 - MUNICIPIO DE CAMAQUA; PREFEITURA CAMAQUA; ISENTO; licitacoes@camaqua.rs.gov.br; (51) 3671-7200; 96180-001; Rua Olavo Moraes;643; s/n; Centro; Camaqua; RS; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.460/0001-99; JURIDICA; UASG 987473 - MUNICIPIO DE CAMBE; PREFEITURA CAMBE; ISENTO; licitacao@cambe.pr.gov.br; (43) 3174-0200; 86181-000; Rua Fadel Jose Moyses;100; s/n; Centro; Cambe; PR; CLIENTE; NADA; ATIVO; 13/02/2026
23.455.444/0001-78; JURIDICA; UASG 984147 - MUNICIPIO DE CAMBUI; PREFEITURA CAMBUI; ISENTO; licitacoes@cambui.mg.gov.br; (35) 3431-1200; 37600-000; Praca Coronel Justiniano;164; s/n; Centro; Cambui; MG; CLIENTE; NADA; ATIVO; 13/02/2026
23.566.555/0001-89; JURIDICA; UASG 984149 - MUNICIPIO DE CAMPESTRE; PREFEITURA CAMPESTRE; ISENTO; licitacoes@campestre.mg.gov.br; (35) 3743-1200; 37730-000; Praca Brasil; s/n; s/n; Centro; Campestre; MG; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.646/0001-33; JURIDICA; UASG 987547 - MUNICIPIO DE CAMPINA GRANDE DO SUL; PREFEITURA CAMPINA; ISENTO; licitacao@pmcgs.pr.gov.br; (41) 3676-8000; 83430-000; Praca Bento Munhoz da Rocha Neto;30; s/n; Centro; Campina Grande do Sul; PR; CLIENTE; NADA; ATIVO; 13/02/2026
46.410.775/0001-36; JURIDICA; UASG 987515 - MUNICIPIO DE CAMPINAS; PREFEITURA CAMPINAS; ISENTO; licitacoes@campinas.sp.gov.br; (19) 2116-0100; 13026-901; Avenida Anchieta;200; Paco Municipal; Centro; Campinas; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.068.425/0001-33; JURIDICA; UASG 153038 - UNIVERSIDADE ESTADUAL DE CAMPINAS; UNICAMP; ISENTO; compras@unicamp.br; (19) 3521-7000; 13083-970; Cidade Universitaria Zeferino Vaz; s/n; s/n; Barao Geraldo; Campinas; SP; CLIENTE; NADA; ATIVO; 13/02/2026
18.822.111/0001-01; JURIDICA; UASG 984255 - MUNICIPIO DE CAMPO BELO; PREFEITURA C BELO; ISENTO; licitacoes@campobelo.mg.gov.br; (35) 3831-1300; 37270-000; Praca Oscar Botelho; s/n; s/n; Centro; Campo Belo; MG; CLIENTE; NADA; ATIVO; 13/02/2026
90.613.444/0001-23; JURIDICA; UASG 984357 - MUNICIPIO DE CAMPO BOM; PREFEITURA CAMPO BOM; ISENTO; licitacoes@campobom.rs.gov.br; (51) 3598-8600; 93700-001; Avenida Independencia;800; s/n; Centro; Campo Bom; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.613.568/0001-91; JURIDICA; UASG 984537 - MUNICIPIO DE CAMPO BOM; PREFEITURA CAMPO BOM; ISENTO; licitacao@campobom.rs.gov.br; (51) 3598-8600; 93700-000; Avenida Independencia;800; s/n; Centro; Campo Bom; RS; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.544/0001-22; JURIDICA; UASG 987471 - MUNICIPIO DE CAMPO LARGO; PREFEITURA CAMPO LARGO; ISENTO; licitacao@campolargo.pr.gov.br; (41) 3291-5000; 83601-170; Avenida Padre Natal Pigatto;925; s/n; Vila Elizabeth; Campo Largo; PR; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.387/0001-54; JURIDICA; UASG 987479 - MUNICIPIO DE CAMPO MOURAO; PREFEITURA CAMPO MOURAO; ISENTO; licitacao@campomourao.pr.gov.br; (44) 3518-1144; 87302-200; Rua Brasil;1487; s/n; Centro; Campo Mourao; PR; CLIENTE; NADA; ATIVO; 13/02/2026
78.206.300/0005-55; JURIDICA; UASG 154365 - UTFPR CAMPUS CAMPO MOURAO; UNIVERSIDADE FEDERAL; ISENTO; compras.cm@utfpr.edu.br; (44) 3518-1400; 87301-899; Via Rosalina Maria dos Santos;1233; s/n; Jardim Batel; Campo Mourao; PR; CLIENTE; NADA; ATIVO; 13/02/2026
08.411.050/0001-31; JURIDICA; UASG 158139 - IFF CAMPUS CAMPOS CENTRO; INSTITUTO FEDERAL; ISENTO; licitacao@iff.edu.br; (22) 2726-2800; 28060-010;Rua Dr. Siqueira;273; s/n; Parque Dom Bosco; Campos dos Goytacazes; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.494/0003-06; JURIDICA; UASG 170015 - DELEGACIA DA RECEITA FEDERAL CAMPOS; RECEITA FEDERAL; ISENTO; licitacoes.cgp.rfb@rfb.gov.br; (22) 2733-1000; 28010-000;Rua Coronel Ponciano de Azevedo Furtado;47; s/n; Parque Santo Amaro; Campos dos Goytacazes; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.460/0033-12; JURIDICA; UASG 200374 - DELEGACIA DE POLICIA FEDERAL EM CAMPOS; POLICIA FEDERAL; ISENTO; compras.cgp.rj@pf.gov.br; (22) 2726-8700; 28010-000;Rua Coronel Ponciano de Azevedo Furtado;47; s/n; Pq. Santo Amaro; Campos dos Goytacazes; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
29.116.084/0001-31; JURIDICA; UASG 985739 - MUNICIPIO DE CAMPOS DOS GOYTACAZES; PREFEITURA CAMPOS; ISENTO; licitacao@campos.rj.gov.br; (22) 2733-3131; 28010-000;Rua Coronel Ponciano de Azevedo Furtado;47; s/n; Parque Santo Amaro; Campos dos Goytacazes; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
28.503.242/0001-05; JURIDICA; UASG 985817 - MUNICIPIO DE CAMPOS DOS GOYTACAZES; PREFEITURA CAMPOS; ISENTO; licitacoes@campos.rj.gov.br; (22) 2733-3131; 28010-000; Rua Coronel Ponciano de Azevedo Furtado;47; s/n; Parque Santo Amaro; Campos dos Goytacazes; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
96.419.777/0001-01; JURIDICA; UASG 984867 - MUNICIPIO DE CANDELARIA; PREFEITURA CANDELARIA; ISENTO; licitacoes@candelaria.rs.gov.br; (51) 3743-8100; 96930-000; Avenida Pereira Rego;1000; s/n; Centro; Candelaria; RS; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.620/0001-95; JURIDICA; UASG 987549 - MUNICIPIO DE CANDIDO DE ABREU; PREFEITURA CANDIDO; ISENTO; licitacao@candidodeabreu.pr.gov.br; (42) 3476-1122; 84470-000; Avenida Visconde de Guarapuava;111; s/n; Centro; Candido de Abreu; PR; CLIENTE; NADA; ATIVO; 13/02/2026
93.116.111/0001-78; JURIDICA; UASG 984419 - MUNICIPIO DE CANELA; PREFEITURA CANELA; ISENTO; licitacoes@canela.rs.gov.br; (54) 3282-5100; 95680-001; Rua Dona Carlinda;455; s/n; Centro; Canela; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.613.154/0001-68; JURIDICA; UASG 984551 - MUNICIPIO DE CANELA; PREFEITURA CANELA; ISENTO; licitacao@canela.rs.gov.br; (54) 3282-5100; 95680-000; Rua Dona Carlinda;455; s/n; Centro; Canela; RS; CLIENTE; NADA; ATIVO; 13/02/2026
10.863.368/0004-83; JURIDICA; UASG 158461 - IFRS CAMPUS CANOAS; INSTITUTO FEDERAL; ISENTO; compras.canoas@ifrs.edu.br; (51) 3415-8200; 92412-240; Rua Dra. Maria Zelia Carneiro de Figueiredo;870; s/n; Igara; Canoas; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.892.003/0001-09; JURIDICA; UASG 984337 - MUNICIPIO DE CANOAS; PREFEITURA CANOAS; ISENTO; licitacoes@canoas.rs.gov.br; (51) 3462-1500; 92010-280; Rua Quinze de Janeiro;11; s/n; Centro; Canoas; RS; CLIENTE; NADA; ATIVO; 13/02/2026
89.048.458/0001-31; JURIDICA; UASG 984533 - MUNICIPIO DE CANOAS; PREFEITURA CANOAS; ISENTO; licitacao@canoas.rs.gov.br; (51) 3462-1500; 92010-260; Rua Quinze de Janeiro;11; s/n; Centro; Canoas; RS; CLIENTE; NADA; ATIVO; 13/02/2026
28.540.109/0001-11; JURIDICA; UASG 985819 - MUNICIPIO DE CANTAGALO; PREFEITURA CANTAGALO; ISENTO; licitacoes@cantagalo.rj.gov.br; (22) 2555-4201; 28500-000; Praca Miguel de Carvalho;65; s/n; Centro; Cantagalo; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
93.015.999/0001-67; JURIDICA; UASG 984397 - MUNICIPIO DE CAPAO DA CANOA; PREFEITURA CAPAO; ISENTO; licitacoes@capaodacanoa.rs.gov.br; (51) 3995-1100; 95555-001; Avenida Paraguassu;1881; s/n; Centro; Capao da Canoa; RS; CLIENTE; NADA; ATIVO; 13/02/2026
23.677.666/0001-90; JURIDICA; UASG 984151 - MUNICIPIO DE CAPELINHA; PREFEITURA CAPELINHA; ISENTO; licitacoes@pmcapelinha.mg.gov.br; (33) 3516-1300; 39680-000; Avenida Tancredo Neves;10; s/n; Centro; Capelinha; MG; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.604/0001-00; JURIDICA; UASG 987551 - MUNICIPIO DE CAPITAO LEONIDAS MARQUES; PREFEITURA CAPITAO; ISENTO; licitacao@capitaoleonidasmarques.pr.gov.br; (45) 3286-1122; 85790-000; Avenida Iguacu;111; s/n; Centro; Capitao Leonidas Marques; PR; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.982/0001-64; JURIDICA; UASG 989241 - MUNICIPIO DE CARAGUATATUBA; PREFEITURA CARAGUA; ISENTO; licitacoes@caraguatatuba.sp.gov.br; (12) 3897-8100; 11660-900; Rua Luiz Passos Junior;50; s/n; Centro; Caraguatatuba; SP; CLIENTE; NADA; ATIVO; 13/02/2026
23.788.777/0001-01; JURIDICA; UASG 984153 - MUNICIPIO DE CARANDAI; PREFEITURA CARANDAI; ISENTO; licitacoes@carandai.mg.gov.br; (32) 3361-1122; 36280-000; Praca Barao de Santa Cecilia; s/n; s/n; Centro; Carandai; MG; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.404/0001-44; JURIDICA; UASG 989125 - MUNICIPIO DE CARAPICUIBA; PREFEITURA CARAPICUIBA; ISENTO; licitacoes@carapicuiba.sp.gov.br; (11) 4164-5500; 06310-160; Rua Joaquim das Neves;205; s/n; Vila Caldas; Carapicuiba; SP; CLIENTE; NADA; ATIVO; 13/02/2026
18.833.222/0001-12; JURIDICA; UASG 984295 - MUNICIPIO DE CARATINGA; PREFEITURA CARATINGA; ISENTO; licitacoes@caratinga.mg.gov.br; (33) 3329-8000; 35300-000; Praca Cesario Alvim;1; s/n; Centro; Caratinga; MG; CLIENTE; NADA; ATIVO; 13/02/2026
90.813.666/0001-45; JURIDICA; UASG 984157 - MUNICIPIO DE CARAZINHO; PREFEITURA CARAZINHO; ISENTO; licitacoes@carazinho.rs.gov.br; (54) 3331-2699; 99500-001; Avenida Flores da Cunha;1264; s/n; Centro; Carazinho; RS; CLIENTE; NADA; ATIVO; 13/02/2026
87.612.982/0001-14; JURIDICA; UASG 984555 - MUNICIPIO DE CARAZINHO; PREFEITURA CARAZINHO; ISENTO; licitacao@carazinho.rs.gov.br; (54) 3331-2699; 99500-000; Avenida Flores da Cunha;1264; s/n; Centro; Carazinho; RS; CLIENTE; NADA; ATIVO; 13/02/2026
27.167.394/0001-23; JURIDICA; UASG 982567 - MUNICIPIO DE CARIACICA; PREFEITURA CARIACICA; ISENTO; licitacoes@cariacica.es.gov.br; (27) 3354-5800; 29140-900; Avenida Mario Gurgel;2502; s/n; Trevo de Alto Lage; Cariacica; ES; CLIENTE; NADA; ATIVO; 13/02/2026
23.899.888/0001-12; JURIDICA; UASG 984157 - MUNICIPIO DE CARMO DO CAJURU; PREFEITURA C CAJURU; ISENTO; licitacoes@carmodocajuru.mg.gov.br; (37) 3244-0700; 35557-000; Praca Primeiro de Janeiro;90; s/n; Centro; Carmo do Cajuru; MG; CLIENTE; NADA; ATIVO; 13/02/2026
24.011.000/0001-23; JURIDICA; UASG 984159 - MUNICIPIO DE CARMO DO RIO CLARO; PREFEITURA C R CLARO; ISENTO; licitacoes@carmodorioclaro.mg.gov.br; (35) 3561-2000; 37150-000; Rua Tito Carlos Pereira;11; s/n; Centro; Carmo do Rio Claro; MG; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.502/0017-97; JURIDICA; UASG 120021 - JUSTICA FEDERAL CASCAVEL; JUSTICA FEDERAL; ISENTO; compras.cxu@jfpr.jus.br; (45) 3331-2020; 85816-013; Rua Parana;5000; s/n; Centro; Cascavel; PR; CLIENTE; NADA; ATIVO; 13/02/2026
01.442.222/0022-78; JURIDICA; UASG 160413 - 33 BATALHAO DE INFANTARIA MECANIZADO; EXERCITO BRASILEIRO; ISENTO; licitacoes.33bimtz@eb.mil.br; (45) 3225-1122; 85800-000; Avenida Manaus;1111; s/n; Centro; Cascavel; PR; CLIENTE; NADA; ATIVO; 13/02/2026
10.727.228/0005-75; JURIDICA; UASG 158476 - IFPR CAMPUS CASCAVEL; INSTITUTO FEDERAL; ISENTO; compras.cascavel@ifpr.edu.br; (45) 3333-2000; 85818-560; Avenida das Torres;1342; s/n; Tropical; Cascavel; PR; CLIENTE; NADA; ATIVO; 13/02/2026
75.425.614/0001-35; JURIDICA; UASG 987475 - MUNICIPIO DE CASCAVEL; PREFEITURA CASCAVEL; ISENTO; licitacao@cascavel.pr.gov.br; (45) 3321-2020; 85816-013; Rua Parana;5000; s/n; Centro; Cascavel; PR; CLIENTE; NADA; ATIVO; 13/02/2026
28.542.210/0001-55; JURIDICA; UASG 985821 - MUNICIPIO DE CASIMIRO DE ABREU; PREFEITURA CASIMIRO; ISENTO; licitacoes@casimirodeabreu.rj.gov.br; (22) 2778-1111; 28860-000; Rua Padre Anchieta;234; s/n; Centro; Casimiro de Abreu; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
24.122.111/0001-34; JURIDICA; UASG 984161 - MUNICIPIO DE CASSIA; PREFEITURA CASSIA; ISENTO; licitacoes@cassia.mg.gov.br; (35) 3541-1100; 37980-000; Praca JK; s/n; s/n; Centro; Cassia; MG; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-27; JURIDICA; UASG 982607 - MUNICIPIO DE CASTELO; PREFEITURA CASTELO; ISENTO; licitacoes@castelo.es.gov.br; (28) 3542-6300; 29360-000; Rua Carlos de Freitas Lima;120; s/n; Centro; Castelo; ES; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.262/0001-24; JURIDICA; UASG 987487 - MUNICIPIO DE CASTRO; PREFEITURA CASTRO; ISENTO; licitacao@castro.pr.gov.br; (42) 2122-5000; 84165-000; Praca Pedro Kaled;22; s/n; Centro; Castro; PR; CLIENTE; NADA; ATIVO; 13/02/2026
24.233.222/0001-45; JURIDICA; UASG 984163 - MUNICIPIO DE CATAGUASES; PREFEITURA CATAGUASES; ISENTO; licitacoes@cataguases.mg.gov.br; (32) 3422-1000; 36770-000; Praca Santa Rita; s/n; s/n; Centro; Cataguases; MG; CLIENTE; NADA; ATIVO; 13/02/2026
46.524.784/0001-07; JURIDICA; UASG 989221 - MUNICIPIO DE CATANDUVA; PREFEITURA CATANDUVA; ISENTO; licitacoes@catanduva.sp.gov.br; (17) 3311-3000; 15801-316; Praca Conde Francisco Matarazzo;1; s/n; Centro; Catanduva; SP; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.460/0041-39; JURIDICA; UASG 200372 - DELEGACIA DE POLICIA FEDERAL EM CAXIAS DO SUL; POLICIA FEDERAL; ISENTO; compras.cxu.rs@pf.gov.br; (54) 3213-3000; 95052-160; Rua Marcial Pisoni;111; s/n; Santa Catarina; Caxias do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
00.394.494/0114-13; JURIDICA; UASG 170251 - DELEGACIA DA RECEITA FEDERAL CAXIAS DO SUL; RECEITA FEDERAL; ISENTO; licitacoes.cxu.rfb@rfb.gov.br; (54) 3213-3000; 95052-160; Rua Marcial Pisoni;111; s/n; Santa Catarina; Caxias do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
10.863.368/0002-11; JURIDICA; UASG 158459 - IFRS CAMPUS CAXIAS DO SUL; INSTITUTO FEDERAL; ISENTO; compras.caxias@ifrs.edu.br; (54) 3204-2100; 95043-700; Rua Francisco Getulio Vargas;1130; s/n; Petropolis; Caxias do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
88.067.780/0001-01; JURIDICA; UASG 984537 - MUNICIPIO DE CAXIAS DO SUL; PREFEITURA CAXIAS; ISENTO; licitacoes@caxias.rs.gov.br; (54) 3218-6000; 95041-310; Rua Alfredo Chaves;1333; s/n; Centro; Caxias do Sul; RS; CLIENTE; NADA; ATIVO; 13/02/2026
76.204.588/0001-00; JURIDICA; UASG 987553 - MUNICIPIO DE CERRO AZUL; PREFEITURA CERRO AZUL; ISENTO; licitacao@cerroazul.pr.gov.br; (41) 3662-1122; 83510-000; Rua Marechal Floriano Peixoto;111; s/n; Centro; Cerro Azul; PR; CLIENTE; NADA; ATIVO; 13/02/2026
96.519.888/0001-12; JURIDICA; UASG 984869 - MUNICIPIO DE CERRO LARGO; PREFEITURA CERRO LARGO; ISENTO; licitacoes@cerrolargo.rs.gov.br; (55) 3359-4900; 97900-000; Rua Cel. Jorge Frantz; s/n; s/n; Centro; Cerro Largo; RS; CLIENTE; NADA; ATIVO; 13/02/2026
96.619.999/0001-23; JURIDICA; UASG 984871 - MUNICIPIO DE CHARQUEADAS; PREFEITURA CHARQUEADAS; ISENTO; licitacoes@charqueadas.rs.gov.br; (51) 3958-8400; 96745-000; Avenida Dr. Jose Athanasio;120; s/n; Centro; Charqueadas; RS; CLIENTE; NADA; ATIVO; 13/02/2026
76.205.445/0001-40; JURIDICA; UASG 987495 - MUNICIPIO DE CIANORTE; PREFEITURA CIANORTE; ISENTO; licitacao@cianorte.pr.gov.br; (44) 3619-6200; 87200-000; Centro Civico;100; s/n; Centro; Cianorte; PR; CLIENTE; NADA; ATIVO; 13/02/2026
27.167.428/0001-18; JURIDICA; UASG 982575 - MUNICIPIO DE COLATINA; PREFEITURA COLATINA; ISENTO; licitacoes@colatina.es.gov.br; (27) 3177-7000; 29700-010; Avenida Angelo Giuberti;343; s/n; Esplanada; Colatina; ES; CLIENTE; NADA; ATIVO; 13/02/2026
76.105.678/0001-32; JURIDICA; UASG 987501 - MUNICIPIO DE COLOMBO; PREFEITURA COLOMBO; ISENTO; licitacao@colombo.pr.gov.br; (41) 3656-8000; 83414-000; Rua XV de Novembro;105; s/n; Centro; Colombo; PR; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-28; JURIDICA; UASG 982609 - MUNICIPIO DE CONCEICAO DA BARRA; PREFEITURA BARRA; ISENTO; licitacoes@conceicaodabarra.es.gov.br; (27) 3762-1100; 29960-000; Praca da Matriz; s/n; s/n; Centro; Conceicao da Barra; ES; CLIENTE; NADA; ATIVO; 13/02/2026
24.344.333/0001-56; JURIDICA; UASG 984165 - MUNICIPIO DE CONCEICAO DAS ALAGOAS; PREFEITURA CONCEICAO; ISENTO; licitacoes@conceicaodasalagoas.mg.gov.br; (34) 3321-0000; 38120-000; Praca Jose de Resende; s/n; s/n; Centro; Conceicao das Alagoas; MG; CLIENTE; NADA; ATIVO; 13/02/2026
31.428.110/0001-29; JURIDICA; UASG 982611 - MUNICIPIO DE CONCEICAO DO CASTELO; PREFEITURA C CASTELO; ISENTO; licitacoes@conceicaodocastelo.es.gov.br; (28) 3547-1101; 29370-000; Avenida Jose Grilo; s/n; s/n; Centro; Conceicao do Castelo; ES; CLIENTE; NADA; ATIVO; 13/02/2026
18.566.656/0001-45; JURIDICA; UASG 984233 - MUNICIPIO DE CONSELHEIRO LAFAIETE; PREFEITURA C LAFAIETE; ISENTO; licitacoes@conselheirolafaiete.mg.gov.br; (31) 3769-2500; 36400-000; Praca Chiquito Furtado; s/n; s/n; Centro; Conselheiro Lafaiete; MG; CLIENTE; NADA; ATIVO; 13/02/2026
24.455.444/0001-67; JURIDICA; UASG 984167 - MUNICIPIO DE CONSELHEIRO PENA; PREFEITURA C PENA; ISENTO; licitacoes@conselheiropena.mg.gov.br; (33) 3261-1200; 35240-000; Praca Joao Luiz da Silva; s/n; s/n; Centro; Conselheiro Pena; MG; CLIENTE; NADA; ATIVO; 13/02/2026
17.625.609/0001-28; JURIDICA; UASG 984313 - MUNICIPIO DE CONTAGEM; PREFEITURA CONTAGEM; ISENTO; licitacoes@contagem.mg.gov.br; (31) 3352-5000; 32041-000; Praca Tancredo Neves;200; s/n; Camargos; Contagem; MG; CLIENTE; NADA; ATIVO; 13/02/2026
20.901.234/0001-11; JURIDICA; UASG 158148 - IFMG CAMPUS CONTAGEM; IFMG; ISENTO; compras.contagem@ifmg.edu.br; (31) 2102-3400; 32145-270; Rua General Lucio de Medeiros;230; s/n; Ressaca; Contagem; MG; CLIENTE; NADA; ATIVO; 13/02/2026
28.544.311/0001-01; JURIDICA; UASG 985823 - MUNICIPIO DE CORDEIRO; PREFEITURA CORDEIRO; ISENTO; licitacoes@cordeiro.rj.gov.br; (22) 2551-0145; 28540-000; Avenida Raul Veiga;123; s/n; Centro; Cordeiro; RJ; CLIENTE; NADA; ATIVO; 13/02/2026
78.206.300/0006-36; JURIDICA; UASG 154366 - UTFPR CAMPUS CORNELIO PROCOPIO; UNIVERSIDADE FEDERAL; ISENTO; compras.cp@utfpr.edu.br; (43) 3520-4000; 86300-000; Avenida Alberto Carazzai;1640; s/n; Centro; Cornelio Procopio; PR; CLIENTE; NADA; ATIVO; 13/02/2026
18.612.223/0001-45; JURIDICA; UASG 984311 - MUNICIPIO DE CORONEL FABRICIANO; PREFEITURA C FABRICIANO; ISENTO; licitacoes@fabriciano.mg.gov.br; (31) 3846-7000; 35170-001; Praca Louis Ensch; s/n; s/n; Centro; Coronel Fabriciano; MG; CLIENTE; NADA; ATIVO; 13/02/2026
46.525.187/0001-90; JURIDICA; UASG 989261 - MUNICIPIO DE COSMOPOLIS; PREFEITURA COSMOPOLIS; ISENTO; licitacoes@cosmopolis.sp.gov.br; (19) 3812-8000; 13150-000; Rua Doutor Campos Salles;398; s/n; Centro; Cosmopolis; SP; CLIENTE; NADA; ATIVO; 13/02/2026
46.523.628/0001-56; JURIDICA; UASG 989147 - MUNICIPIO DE COTIA; PREFEITURA COTIA; ISENTO; licitacoes@cotia.sp.gov.br; (11) 4615-8300; 06700-158; Avenida Professor Manoel Jose Pedroso;1347; s/n; Jardim Nomura; Cotia; SP; CLIENTE; NADA; ATIVO; 13/02/2026
